scenario_name,parameters_json,result_json
Demand +20% (store 4),"{""name"": ""Demand +20%"", ""demand_multiplier"": 1.2, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 6910.0, ""expected_total_cost"": 32607.86, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 43.68, ""procurement_cost"": 32562.6, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 10180.0, ""expected_total_cost"": 48025.35, ""expected_holding_cost"": 1.9, ""expected_stockout_cost"": 51.34, ""procurement_cost"": 47972.11, ""stockout_probability_pct"": 4.74, ""achieved_service_level_pct"": 95.26, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 3270.0, ""recommended_order_qty_pct_change"": 47.3, ""expected_total_cost"": 15417.49, ""expected_total_cost_pct_change"": 47.3, ""expected_holding_cost"": 0.32, ""expected_holding_cost_pct_change"": 20.3, ""expected_stockout_cost"": 7.66, ""expected_stockout_cost_pct_change"": 17.5, ""procurement_cost"": 15409.51, ""procurement_cost_pct_change"": 47.3, ""stockout_probability_pct"": -0.14, ""stockout_probability_pct_pct_change"": -2.9, ""achieved_service_level_pct"": 0.14, ""achieved_service_level_pct_pct_change"": 0.1}}"
Demand -15% (store 4),"{""name"": ""Demand -15%"", ""demand_multiplier"": 0.85, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 6910.0, ""expected_total_cost"": 32607.86, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 43.68, ""procurement_cost"": 32562.6, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 4460.0, ""expected_total_cost"": 21055.78, ""expected_holding_cost"": 1.34, ""expected_stockout_cost"": 37.18, ""procurement_cost"": 21017.25, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": -2450.0, ""recommended_order_qty_pct_change"": -35.5, ""expected_total_cost"": -11552.08, ""expected_total_cost_pct_change"": -35.4, ""expected_holding_cost"": -0.24, ""expected_holding_cost_pct_change"": -15.2, ""expected_stockout_cost"": -6.5, ""expected_stockout_cost_pct_change"": -14.9, ""procurement_cost"": -11545.35, ""procurement_cost_pct_change"": -35.5, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Lead time 7 -> 14 days (store 4),"{""name"": ""Lead time 7 -> 14 days"", ""demand_multiplier"": 1.0, ""lead_time_override"": 14.0, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 6910.0, ""expected_total_cost"": 32607.86, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 43.68, ""procurement_cost"": 32562.6, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 12030.0, ""expected_total_cost"": 56748.33, ""expected_holding_cost"": 1.85, ""expected_stockout_cost"": 56.46, ""procurement_cost"": 56690.02, ""stockout_probability_pct"": 5.0, ""achieved_service_level_pct"": 95.0, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 5120.0, ""recommended_order_qty_pct_change"": 74.1, ""expected_total_cost"": 24140.47, ""expected_total_cost_pct_change"": 74.0, ""expected_holding_cost"": 0.27, ""expected_holding_cost_pct_change"": 17.1, ""expected_stockout_cost"": 12.78, ""expected_stockout_cost_pct_change"": 29.3, ""procurement_cost"": 24127.42, ""procurement_cost_pct_change"": 74.1, ""stockout_probability_pct"": 0.12, ""stockout_probability_pct_pct_change"": 2.5, ""achieved_service_level_pct"": -0.12, ""achieved_service_level_pct_pct_change"": -0.1}}"
Budget -15% (store 4),"{""name"": ""Budget -15%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": 0.85, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 6910.0, ""expected_total_cost"": 32607.86, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 43.68, ""procurement_cost"": 32562.6, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 6910.0, ""expected_total_cost"": 32607.86, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 43.68, ""procurement_cost"": 32562.6, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": 0.0, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": 0.0, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": 0.0, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Budget -20% (store 4),"{""name"": ""Budget -20%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": 0.8, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 6910.0, ""expected_total_cost"": 32607.86, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 43.68, ""procurement_cost"": 32562.6, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 6910.0, ""expected_total_cost"": 32607.86, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 43.68, ""procurement_cost"": 32562.6, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": 0.0, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": 0.0, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": 0.0, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Warehouse capacity +25% (store 4),"{""name"": ""Warehouse capacity +25%"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": 1.25, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 6910.0, ""expected_total_cost"": 32607.86, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 43.68, ""procurement_cost"": 32562.6, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 6910.0, ""expected_total_cost"": 32607.86, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 43.68, ""procurement_cost"": 32562.6, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 0.0, ""recommended_order_qty_pct_change"": 0.0, ""expected_total_cost"": 0.0, ""expected_total_cost_pct_change"": 0.0, ""expected_holding_cost"": 0.0, ""expected_holding_cost_pct_change"": 0.0, ""expected_stockout_cost"": 0.0, ""expected_stockout_cost_pct_change"": 0.0, ""procurement_cost"": 0.0, ""procurement_cost_pct_change"": 0.0, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
"2-week promotion, +30% uplift (store 4)","{""name"": ""2-week promotion, +30% uplift"", ""demand_multiplier"": 1.0, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 30.0, ""promo_duration_days"": 14}","{""baseline"": {""recommended_order_qty"": 6910.0, ""expected_total_cost"": 32607.86, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 43.68, ""procurement_cost"": 32562.6, ""stockout_probability_pct"": 4.88, ""achieved_service_level_pct"": 95.12, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 11400.0, ""expected_total_cost"": 53780.45, ""expected_holding_cost"": 2.01, ""expected_stockout_cost"": 57.23, ""procurement_cost"": 53721.22, ""stockout_probability_pct"": 4.82, ""achieved_service_level_pct"": 95.18, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 4490.0, ""recommended_order_qty_pct_change"": 65.0, ""expected_total_cost"": 21172.59, ""expected_total_cost_pct_change"": 64.9, ""expected_holding_cost"": 0.43, ""expected_holding_cost_pct_change"": 27.2, ""expected_stockout_cost"": 13.55, ""expected_stockout_cost_pct_change"": 31.0, ""procurement_cost"": 21158.62, ""procurement_cost_pct_change"": 65.0, ""stockout_probability_pct"": -0.06, ""stockout_probability_pct_pct_change"": -1.2, ""achieved_service_level_pct"": 0.06, ""achieved_service_level_pct_pct_change"": 0.1}}"
Demand +20% (store 23),"{""name"": ""Demand +20%"", ""demand_multiplier"": 1.2, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 1330.0, ""expected_total_cost"": 9800.38, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 44.27, ""procurement_cost"": 9754.53, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 2470.0, ""expected_total_cost"": 18167.3, ""expected_holding_cost"": 1.92, ""expected_stockout_cost"": 49.82, ""procurement_cost"": 18115.56, ""stockout_probability_pct"": 4.54, ""achieved_service_level_pct"": 95.46, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 1140.0, ""recommended_order_qty_pct_change"": 85.7, ""expected_total_cost"": 8366.92, ""expected_total_cost_pct_change"": 85.4, ""expected_holding_cost"": 0.34, ""expected_holding_cost_pct_change"": 21.5, ""expected_stockout_cost"": 5.55, ""expected_stockout_cost_pct_change"": 12.5, ""procurement_cost"": 8361.03, ""procurement_cost_pct_change"": 85.7, ""stockout_probability_pct"": -0.42, ""stockout_probability_pct_pct_change"": -8.5, ""achieved_service_level_pct"": 0.42, ""achieved_service_level_pct_pct_change"": 0.4}}"
Demand -15% (store 23),"{""name"": ""Demand -15%"", ""demand_multiplier"": 0.85, ""lead_time_override"": null, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 1330.0, ""expected_total_cost"": 9800.38, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 44.27, ""procurement_cost"": 9754.53, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 480.0, ""expected_total_cost"": 3559.55, ""expected_holding_cost"": 1.34, ""expected_stockout_cost"": 37.78, ""procurement_cost"": 3520.43, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": -850.0, ""recommended_order_qty_pct_change"": -63.9, ""expected_total_cost"": -6240.83, ""expected_total_cost_pct_change"": -63.7, ""expected_holding_cost"": -0.24, ""expected_holding_cost_pct_change"": -15.2, ""expected_stockout_cost"": -6.49, ""expected_stockout_cost_pct_change"": -14.7, ""procurement_cost"": -6234.1, ""procurement_cost_pct_change"": -63.9, ""stockout_probability_pct"": 0.0, ""stockout_probability_pct_pct_change"": 0.0, ""achieved_service_level_pct"": 0.0, ""achieved_service_level_pct_pct_change"": 0.0}}"
Lead time 7 -> 14 days (store 23),"{""name"": ""Lead time 7 -> 14 days"", ""demand_multiplier"": 1.0, ""lead_time_override"": 14.0, ""budget_multiplier"": null, ""capacity_multiplier"": null, ""promo_uplift_pct"": 0.0, ""promo_duration_days"": 0}","{""baseline"": {""recommended_order_qty"": 1330.0, ""expected_total_cost"": 9800.38, ""expected_holding_cost"": 1.58, ""expected_stockout_cost"": 44.27, ""procurement_cost"": 9754.53, ""stockout_probability_pct"": 4.96, ""achieved_service_level_pct"": 95.04, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""scenario"": {""recommended_order_qty"": 3210.0, ""expected_total_cost"": 23601.32, ""expected_holding_cost"": 1.85, ""expected_stockout_cost"": 56.58, ""procurement_cost"": 23542.89, ""stockout_probability_pct"": 4.92, ""achieved_service_level_pct"": 95.08, ""within_target_service_level"": true, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint""}, ""deltas"": {""recommended_order_qty"": 1880.0, ""recommended_order_qty_pct_change"": 141.4, ""expected_total_cost"": 13800.94, ""expected_total_cost_pct_change"": 140.8, ""expected_holding_cost"": 0.27, ""expected_holding_cost_pct_change"": 17.1, ""expected_stockout_cost"": 12.31, ""expected_stockout_cost_pct_change"": 27.8, ""procurement_cost"": 13788.36, ""procurement_cost_pct_change"": 141.4, ""stockout_probability_pct"": -0.04, ""stockout_probability_pct_pct_change"": -0.8, ""achieved_service_level_pct"": 0.04, ""achieved_service_level_pct_pct_change"": 0.0}}"
